Description,Verdict,Character
"One of the two vagabond adventurers who, driven by ambition and hubris, is crowned a god-king of Kafiristan until his attempt to marry a native woman reveals his mortality.",Bad,Daniel Dravot
"Dravot's loyal, adventurous companion who survives the tragedy to return as a crippled beggar to tell the tale, showing proof of their lost kingdom.",Ambiguous,Peachey Carnehan
"A respectable Victorian journalist in India who facilitates the men's plan and chronicles their incredible, yet tragic, adventure.",Neutral,The Narrator (Unnamed Newspaperman)
"A local woman in Kafiristan whom Dravot attempts to marry to secure his royal line, but who bites him, revealing his mortal blood.",Neutral,The Kafir Girl (Unnamed)
The local priests and leaders of Kafiristan who are initially convinced by the men's trickery but realize the truth upon seeing Dravot bleed.,Neutral,The Kafir Priests/Chiefs
A Kafir man who becomes Dravot's loyal servant and aids the men in their rule until the final confrontation.,Good,Billy Fish
The local inhabitants of Kafiristan who are initially awed and made into subjects by the adventurers' cunning and Masonic rites.,Neutral,The Kafir Tribesmen
"A vengeful gambler who targets the town of Hadleyburg for a perceived insult, masterminding a brilliant plot to expose the town's hypocrisy and corruption.",Bad,The Stranger ('Howard L. Stephenson')
"A poor, elderly bank teller and one of the 'Nineteeners' who, despite his fundamental goodness, succumbs to the temptation of the gold, leading to his tragic, guilt-ridden downfall.",Good,Edward Richards
"Edward's wife, who is a sweet old woman who allows greed to overcome her integrity, sharing her husband's intense guilt and paranoia.",Good,Mary Richards
"A minister who was once disgraced by the town's silence (including Edward Richards's). He protects the Richardses out of gratitude, mistaking their shame for noble reticence.",Good,The Reverend Mr. Burgess
"The deceased town cynic and 'best hated man' who the town wrongly assumes gave the advice, as he was the only one capable of genuine generosity.",Good,Barclay Goodson
The leading families of Hadleyburg who are exposed as hypocritical and greedy when they all falsely claim to have given the stranger the winning advice.,Bad,The Nineteen (Prominent Families)
A figure involved in the anonymous delivery of the gold and the letter to the Richards home.,Neutral,The Bank Messenger (Unnamed)
"A thoroughly unlikeable, corpulent, self-proclaimed magician who wields sinister occult powers and ruthlessly seduces Arthur's fiancée, Margaret, for his dark purposes.",Bad,Oliver Haddo
"A skilled, rational English surgeon who is Margaret's fiancé and acts as the protagonist, struggling against Haddo's mystical, dark influence.",Good,Arthur Burdon
"Arthur's fiancée, a beautiful young woman who is seduced by Haddo's dark magnetism and ultimately falls victim to his sinister plans.",Bad,Margaret Dauncey
"Arthur's old friend and mentor in Paris, who introduces a layer of occult knowledge and skepticism to the story, opposing Haddo's claims.",Good,Dr. Porhoët
"A writer and friend of Arthur who acts as an observer, chronicling the destructive influence of Haddo on his friends.",Neutral,The Narrator (Unnamed)
"A friend or acquaintance of Margaret and Arthur in Paris, representing the general social circle affected by Haddo.",Neutral,Susie
"A figure in Haddo's past, whose story may reveal the source or nature of his dark powers.",Neutral,Haddo's Mother (Unnamed)
"A heroic American frontiersman and skilled woodsman; he is a moral guide and friend to the Mohicans, representing the virtue of the wilderness.",Good,Natty Bumppo (Hawkeye)
"Hawkeye's closest friend and one of the last two surviving members of the Mohican tribe; a stoic, noble chief.",Good,Chingachgook
Chingachgook's son and the last of the Mohicans; a valiant young warrior who falls in love with Cora and dies nobly attempting to save her.,Good,Uncas
"The beautiful, mixed-race eldest daughter of Colonel Munro; she is spirited and the object of Magua's cruel desire.",Good,Cora Munro
"Cora's younger, fair-haired half-sister; a gentler character who is the object of Major Heyward's affection.",Good,Alice Munro
"A brave, resourceful British officer who is in love with Alice and acts as the sisters' escort and protector.",Good,Major Duncan Heyward
"A treacherous, renegade Huron warrior and the novel's antagonist, who seeks cruel revenge on Colonel Munro by abducting and tormenting his daughters.",Bad,Magua
"A strong Paiute Indian woman who loses her mate and lives alone with her child, surviving by weaving and connecting deeply with the arid land.",Good,Seyavi
"A skilled artisan whose work is highly prized, embodying the resilience and quiet dignity of the indigenous people of the 'Land of Little Rain'.",Good,The Basket Maker
"A solitary, often-seen figure in the desert, representing the transient, fiercely independent white prospector who follows nature's subtle signs.",Neutral,The Pocket Hunter
"A personification of the scarce, life-giving resource in the high desert that dictates the fate of all living things.",Neutral,The Water
"The harsh, unyielding setting, almost a character, which demands respect and survival through intimate knowledge, contrasting with civilized life.",Neutral,The Land Itself
"A symbol of the wild, a cunning and resourceful survivor of the desert, often observed by the narrator.",Neutral,The Coyote
"A clever, swift bird of the desert, representing the unique, resilient life forms that thrive in the difficult environment.",Neutral,The Road Runner
"A young, mistreated orphan girl who is rescued from a cruel home and raised with kindness, growing up to embody virtue and Christian life.",Good,Gerty
"A kind, simple lamplighter who rescues Gerty from abuse and becomes her devoted protector and friend.",Good,Trueman Flint
The cruel woman who takes in the orphan Gerty but subjects her to neglect and abuse.,Bad,Nan Grant
"Gerty's refined, gentle guardian who takes her in after she is separated from Trueman Flint, helping Gerty's education and social development.",Good,Emily Graham
"Emily's husband, a kindly figure who supports Gerty's upbringing and education.",Good,Mr. Graham
"A boy Gerty meets who plays a significant role in her later life, representing the complications of past secrets and true love.",Good,Willie Sullivan
"An important female figure in the later part of Gerty's life, connected to Gerty's origins or eventual destiny.",Neutral,Mrs. Sullivan
"A 'semi-barbaric' young woman, the king's daughter, who is fiercely in love with the courtier but torn between saving him and giving him up to a rival in marriage.",Ambiguous,The Princess
"A 'semi-barbaric', half-civilized ruler whose justice system involves the accused choosing a door with either a beautiful maiden or a fierce tiger.",Neutral,The King
"A handsome, low-stationed young man who dares to love the princess and is the subject of the trial in the arena.",Good,The Young Courtier
"A beautiful maiden hidden behind one of the doors, whom the princess hates for having directed amorous glances at the courtier.",Neutral,The Lady
"A ferocious animal hidden behind the other door, representing a swift, gruesome death.",Bad,The Tiger
The spectators in the arena who eagerly await the spectacle of justice or gruesome fate.,Neutral,The Public
The officials who search the kingdom for the most savage tiger and the most beautiful maiden.,Neutral,The King's Emissaries
"An orphan who comes to Paris and begins as a struggling, overlooked shop girl but rises due to her competence and gentle nature.",Good,Denise Baudu
"The handsome, brilliant, and ruthless owner of the Ladies' Paradise department store, symbolizing modern capitalism's seductive and destructive force.",Bad,Octave Mouret
"Denise's uncle and owner of the small, traditional drapery shop (Vieil Elbeuf), whose business is slowly ruined by Mouret's giant department store.",Good,Baudu
"Baudu's pale, long-suffering daughter who is engaged to the unfaithful Colomban and sinks closer to despair as her family faces bankruptcy.",Good,Geneviève Baudu
"Mouret's sharp, intelligent business partner who lacks Mouret's charisma but is deeply distrustful and jealous of Denise.",Bad,Bourdoncle
"Baudu's seemingly loyal shop assistant and Geneviève's fiancé, who is secretly unfaithful and lusts after other salesgirls.",Bad,Colomban
"Baudu's pale, quiet wife who is perceptive of the shop's decline and dies after watching her family business crumble.",Good,Madame Baudu
"A young man in 'The Repairer of Reputations' who believes he is the heir to an imperial dynasty, descending into madness and plotting murder.",Bad,Hildred Castaigne
"An enigmatic, sinister figure from the alien city of Carcosa whose influence corrupts and drives to madness all who encounter the banned book of the same name.",Bad,The King in Yellow
"Hildred Castaigne's cousin, who is the intended victim of Hildred's murder plot in 'The Repairer of Reputations'.",Good,Louis Castaigne
